event name,label,x,y,width,height,confidence,length_in_sec,real_begins_in_sec,real_begins_in_time,picture_ends_in,date
event20210226_154914_532,krátka s headechom,0.363301,0.671949,0.0172414,0.0475436,"0.364369
",0.6231,12.819,15:48:51:819,15:49:14,26.02.2021
event20210226_154914_532,krátka bez headecha,0.58867,0.674326,0.0131363,0.0301109,"0.40969
",0.4748,21.0386,15:49:00:038,15:49:14,26.02.2021
event20210226_154922_533,krátka s headechom,0.138342,0.671157,0.0155993,0.0427892,"0.325254
",0.5638,4.7181,15:48:51:718,15:49:22,26.02.2021
event20210226_154922_533,krátka bez headecha,0.363301,0.675119,0.0123153,0.0285261,"0.525509
",0.4451,12.908,15:48:59:908,15:49:22,26.02.2021
event20210226_155242_535,krátka bez headecha,0.366174,0.671949,0.0131363,0.0348653,"0.513489
",0.4748,12.997,15:52:19:997,15:52:42,26.02.2021
event20210226_155903_536,krátka s headechom,0.370279,0.671949,0.0229885,0.0475436,"0.419659
",0.8309,12.9674,15:58:40:967,15:59:03,26.02.2021
event20210226_160256_538,krátka bez headecha,0.365353,0.677496,0.0131363,0.0269414,"0.479281
",0.4748,12.9674,16:02:33:967,16:02:56,26.02.2021
event20210226_160825_539,krátka bez headecha,0.15353,0.675119,0.0114943,0.0285261,"0.485347
",0.4154,5.3412,16:07:55:341,16:08:25,26.02.2021
event20210226_160825_539,krátka bez headecha,0.356732,0.671157,0.0139573,0.0237718,"0.384119
",0.5045,12.6409,16:08:02:640,16:08:25,26.02.2021
event20210226_161021_540,krátka bez headecha,0.366995,0.675119,0.0147783,0.0253566,"0.562976
",0.5341,12.997,16:09:58:997,16:10:21,26.02.2021
event20210226_161643_541,krátka s headechom,0.368227,0.673534,0.0205255,0.0507132,"0.425346
",0.7418,12.9377,16:16:20:937,16:16:43,26.02.2021
event20210226_162333_544,krátka bez headecha,0.355911,0.674326,0.0188834,0.0269414,"0.709281
",0.6825,12.5222,16:23:10:522,16:23:33,26.02.2021
event20210226_162520_545,krátka bez headecha,0.35468,0.667195,0.0131363,0.0348653,"0.554555
",0.4748,12.5816,16:24:57:581,16:25:20,26.02.2021
event20210226_162640_546,krátka bez headecha,0.366174,0.675119,0.0131363,0.0380349,"0.423476
",0.4748,12.997,16:26:17:997,16:26:40,26.02.2021
event20210226_163117_547,krátka bez headecha,0.359606,0.669572,0.0147783,0.0364501,"0.526209
",0.5341,12.73,16:30:54:73,16:31:17,26.02.2021
event20210226_163734_548,krátka s headechom,0.31445,0.676704,0.0147783,0.0412044,"0.263917
",0.5341,11.0979,16:37:10:097,16:37:34,26.02.2021
event20210226_163734_548,krátka bez headecha,0.31445,0.676704,0.0164204,0.044374,"0.403696
",0.5935,11.0683,16:37:10:068,16:37:34,26.02.2021
event20210226_163734_548,krátka bez headecha,0.368637,0.667987,0.0147783,0.0364501,"0.587533
",0.5341,13.0564,16:37:12:056,16:37:34,26.02.2021
event20210226_165032_552,krátka bez headecha,0.357143,0.683043,0.0147783,0.0316957,"0.57301
",0.5341,12.641,16:50:09:641,16:50:32,26.02.2021
event20210226_170951_556,krátka bez headecha,0.363711,0.664818,0.0147783,0.0332805,"0.485544
",0.5341,12.8783,17:09:28:878,17:09:51,26.02.2021
event20210226_171811_558,krátka bez headecha,0.352627,0.669572,0.0188834,0.0364501,"0.509085
",0.6825,12.4036,17:17:48:403,17:18:11,26.02.2021
event20210226_172123_559,krátka s headechom,0.362069,0.672742,0.0164204,0.0459588,"0.35105
",0.5935,12.7893,17:21:00:789,17:21:23,26.02.2021
event20210226_172123_559,krátka bez headecha,0.362069,0.673534,0.0164204,0.0475436,"0.352672
",0.5935,12.7893,17:21:00:789,17:21:23,26.02.2021
event20210226_172123_559,krátka s headechom,0.856322,0.675119,0.0229885,0.0475436,"0.368592
",0.8309,30.5341,17:21:18:534,17:21:23,26.02.2021
event20210226_172140_560,krátka s headechom,0.358374,0.673534,0.0221675,0.0570523,"0.254846
",0.8012,12.5519,17:21:17:551,17:21:40,26.02.2021
event20210226_172140_560,krátka bez headecha,0.358785,0.674326,0.0213465,0.0459588,"0.387141
",0.7715,12.5816,17:21:17:581,17:21:40,26.02.2021
event20210226_172330_561,krátka bez headecha,0.359195,0.664025,0.0155993,0.0412044,"0.444836
",0.5638,12.7003,17:23:07:700,17:23:30,26.02.2021
event20210226_173025_562,krátka s headechom,0.354269,0.640254,0.0254516,0.117274,"0.556949
",0.9199,12.3442,17:30:02:344,17:30:25,26.02.2021
event20210226_174257_564,krátka bez headecha,0.350985,0.667195,0.0139573,0.0348653,"0.518749
",0.5045,12.4332,17:42:34:433,17:42:57,26.02.2021
event20210226_174336_565,krátka bez headecha,0.353448,0.667987,0.0270936,0.0301109,"0.525016
",0.9792,12.2849,17:43:13:284,17:43:36,26.02.2021
event20210226_175030_568,krátka bez headecha,0.356732,0.667195,0.0155993,0.0285261,"0.58184
",0.5638,12.6113,17:50:07:611,17:50:30,26.02.2021
event20210226_175523_569,krátka s headechom,0.376026,0.673534,0.0311987,0.0538827,"0.391591
",1.1276,13.0267,17:55:01:026,17:55:23,26.02.2021
event20210226_175806_570,krátka bez headecha,0.35509,0.674326,0.0188834,0.0364501,"0.560755
",0.6825,12.4926,17:57:43:492,17:58:06,26.02.2021
event20210226_180005_573,krátka bez headecha,0.366585,0.679081,0.0172414,0.0332805,"0.438051
",0.6231,12.9377,17:59:42:937,18:00:05,26.02.2021
event20210226_180005_573,krátka bez headecha,0.880131,0.672742,0.0164204,0.0269414,"0.256619
",0.5935,31.5133,18:00:01:513,18:00:05,26.02.2021
event20210226_180352_574,krátka bez headecha,0.367406,0.669572,0.0221675,0.0301109,"0.260921
",0.8012,12.8784,18:03:29:878,18:03:52,26.02.2021
event20210226_180733_575,krátka bez headecha,0.358785,0.671157,0.0131363,0.0269414,"0.589303
",0.4748,12.73,18:07:10:73,18:07:33,26.02.2021
event20210226_180733_575,krátka bez headecha,0.5,0.671157,0.0197044,0.0491284,"0.330283
",0.7122,17.7151,18:07:15:715,18:07:33,26.02.2021
event20210226_180738_576,krátka bez headecha,0.20936,0.671157,0.0131363,0.0269414,"0.581382
",0.4748,7.3294,18:07:10:329,18:07:38,26.02.2021
event20210226_180738_576,krátka bez headecha,0.350164,0.671157,0.0188834,0.0491284,"0.377945
",0.6825,12.3145,18:07:15:314,18:07:38,26.02.2021
event20210226_180738_576,krátka s headechom,0.350985,0.671949,0.0188834,0.044374,"0.311319
",0.6825,12.3442,18:07:15:344,18:07:38,26.02.2021
event20210226_181321_578,krátka bez headecha,0.362479,0.673534,0.0155993,0.044374,"0.440823
",0.5638,12.819,18:12:58:819,18:13:21,26.02.2021
event20210226_181817_579,krátka bez headecha,0.354269,0.675911,0.0188834,0.0301109,"0.632096
",0.6825,12.4629,18:17:54:462,18:18:17,26.02.2021
event20210226_182023_580,krátka bez headecha,0.362479,0.667987,0.0155993,0.0332805,"0.5332
",0.5638,12.819,18:20:00:819,18:20:23,26.02.2021
event20210226_182249_581,krátka bez headecha,0.364121,0.666403,0.0172414,0.0332805,"0.634661
",0.6231,12.8486,18:22:26:848,18:22:49,26.02.2021
event20210226_182338_582,krátka bez headecha,0.360837,0.671157,0.0221675,0.0332805,"0.32767
",0.8012,12.6409,18:23:15:640,18:23:38,26.02.2021
event20210226_183806_584,krátka bez headecha,0.356322,0.656101,0.0197044,0.0412044,"0.50315
",0.7122,12.5223,18:37:43:522,18:38:06,26.02.2021
event20210226_184118_585,krátka bez headecha,0.369458,0.670364,0.0147783,0.0253566,"0.591641
",0.5341,13.086,18:40:56:086,18:41:18,26.02.2021
event20210226_184118_585,krátka s headechom,0.648604,0.672742,0.0147783,0.0459588,"0.308113
",0.5341,23.1751,18:41:06:175,18:41:18,26.02.2021
event20210226_184128_586,krátka bez headecha,0.0874384,0.66878,0.0139573,0.0253566,"0.44641
",0.5045,2.908,18:40:55:908,18:41:28,26.02.2021
event20210226_184128_586,krátka s headechom,0.367406,0.672742,0.0139573,0.0459588,"0.398058
",0.5045,13.0267,18:41:06:026,18:41:28,26.02.2021
event20210226_184855_588,krátka bez headecha,0.362479,0.673534,0.0336617,0.044374,"0.35317
",1.2166,12.4926,18:48:32:492,18:48:55,26.02.2021
event20210226_185521_589,krátka s headechom,0.361248,0.656101,0.0197044,0.066561,"0.591575
",0.7122,12.7003,18:54:58:700,18:55:21,26.02.2021
event20210226_190130_590,krátka s headechom,0.357143,0.68542,0.0197044,0.0554675,"0.441914
",0.7122,12.5519,19:01:07:551,19:01:30,26.02.2021
event20210226_191425_595,krátka s headechom,0.357143,0.660063,0.0229885,0.0649762,"0.555343
",0.8309,12.4926,19:14:02:492,19:14:25,26.02.2021
event20210226_191908_597,krátka bez headecha,0.367816,0.675119,0.0180624,0.0285261,"0.687091
",0.6528,12.9674,19:18:45:967,19:19:08,26.02.2021
event20210226_193042_599,krátka bez headecha,0.369458,0.672742,0.0164204,0.0427892,"0.504904
",0.5935,13.0564,19:30:20:056,19:30:42,26.02.2021
event20210226_194627_600,krátka s headechom,0.368637,0.667195,0.0164204,0.0538827,"0.482611
",0.5935,13.0267,19:46:05:026,19:46:27,26.02.2021
event20210226_195613_602,krátka s headechom,0.353859,0.675119,0.0164204,0.0507132,"0.478503
",0.5935,12.4926,19:55:50:492,19:56:13,26.02.2021
event20210226_200342_603,krátka bez headecha,0.366174,0.663233,0.0180624,0.0332805,"0.47201
",0.6528,12.908,20:03:19:908,20:03:42,26.02.2021
event20210226_200635_604,krátka s headechom,0.351806,0.667195,0.0205255,0.0538827,"0.383732
",0.7418,12.3442,20:06:12:344,20:06:35,26.02.2021
event20210226_201812_606,krátka s headechom,0.356732,0.669572,0.0155993,0.0459588,"0.368659
",0.5638,12.6113,20:17:49:611,20:18:12,26.02.2021
event20210226_202259_608,krátka bez headecha,0.355911,0.675911,0.0155993,0.0269414,"0.673284
",0.5638,12.5816,20:22:36:581,20:22:59,26.02.2021
event20210226_202704_610,krátka bez headecha,0.359195,0.687005,0.0139573,0.0396197,"0.462258
",0.5045,12.73,20:26:41:73,20:27:04,26.02.2021
event20210226_203021_611,krátka s headechom,0.355501,0.667987,0.0213465,0.0839937,"0.593293
",0.7715,12.4629,20:29:58:462,20:30:21,26.02.2021
event20210226_203724_612,krátka s headechom,0.364121,0.66878,0.0287356,0.114105,"0.557865
",1.0386,12.6409,20:37:01:640,20:37:24,26.02.2021
event20210226_203724_612,krátka s headechom,0.829639,0.675911,0.0155993,0.0491284,"0.434814
",0.5638,29.7033,20:37:18:703,20:37:24,26.02.2021
event20210226_204230_613,krátka bez headecha,0.355911,0.675119,0.0155993,0.0380349,"0.509881
",0.5638,12.5816,20:42:07:581,20:42:30,26.02.2021
event20210226_204326_614,krátka bez headecha,0.368227,0.679873,0.0155993,0.0348653,"0.566636
",0.5638,13.0267,20:43:04:026,20:43:26,26.02.2021
event20210226_204515_615,krátka bez headecha,0.353859,0.675911,0.0147783,0.0269414,"0.602493
",0.5341,12.5223,20:44:52:522,20:45:15,26.02.2021
event20210226_204532_616,krátka bez headecha,0.364121,0.675119,0.0188834,0.0285261,"0.361409
",0.6825,12.819,20:45:09:819,20:45:32,26.02.2021
event20210226_205143_617,krátka bez headecha,0.357553,0.678288,0.0139573,0.0348653,"0.52292
",0.5045,12.6706,20:51:20:670,20:51:43,26.02.2021
event20210226_205410_618,krátka bez headecha,0.358374,0.675911,0.0139573,0.0332805,"0.504028
",0.5045,12.7003,20:53:47:700,20:54:10,26.02.2021
event20210226_205907_619,krátka bez headecha,0.354269,0.673534,0.0172414,0.0412044,"0.435538
",0.6231,12.4926,20:58:44:492,20:59:07,26.02.2021
event20210226_205916_620,krátka bez headecha,0.110837,0.671157,0.0164204,0.0427892,"0.37929
",0.5935,3.7092,20:58:44:709,20:59:16,26.02.2021
event20210226_210929_628,krátka bez headecha,0.359195,0.674326,0.0155993,0.0269414,"0.62549
",0.5638,12.7003,21:09:06:700,21:09:29,26.02.2021
event20210226_210951_629,krátka bez headecha,0.368637,0.675119,0.0164204,0.0253566,"0.596735
",0.5935,13.0267,21:09:29:026,21:09:51,26.02.2021
event20210226_211350_630,krátka s headechom,0.362069,0.675119,0.0213465,0.0729002,"0.401528
",0.7715,12.7003,21:13:27:700,21:13:50,26.02.2021
event20210226_211833_633,krátka bez headecha,0.361248,0.676704,0.0197044,0.0253566,"0.47836
",0.7122,12.7003,21:18:10:700,21:18:33,26.02.2021
event20210226_211833_633,krátka bez headecha,0.411741,0.675911,0.0155993,0.0332805,"0.524323
",0.5638,14.5994,21:18:12:599,21:18:33,26.02.2021
event20210226_212116_635,krátka bez headecha,0.356732,0.675119,0.0123153,0.0253566,"0.558149
",0.4451,12.6706,21:20:53:670,21:21:16,26.02.2021
event20210226_212837_639,krátka bez headecha,0.357143,0.671157,0.0131363,0.0364501,"0.476803
",0.4748,12.6706,21:28:14:670,21:28:37,26.02.2021
event20210226_212926_640,krátka bez headecha,0.355501,0.676704,0.0164204,0.0285261,"0.616566
",0.5935,12.5519,21:29:03:551,21:29:26,26.02.2021
event20210226_213808_644,krátka bez headecha,0.0788177,0.673534,0.0131363,0.0253566,"0.285552
",0.4748,2.6113,21:37:35:611,21:38:08,26.02.2021
event20210226_213808_644,krátka bez headecha,0.355911,0.671157,0.0139573,0.0301109,"0.591896
",0.5045,12.6113,21:37:45:611,21:38:08,26.02.2021
event20210226_214416_650,krátka bez headecha,0.357553,0.671157,0.0205255,0.0269414,"0.626716
",0.7418,12.5519,21:43:53:551,21:44:16,26.02.2021
event20210226_215212_655,krátka bez headecha,0.358374,0.672742,0.0155993,0.0301109,"0.592211
",0.5638,12.6706,21:51:49:670,21:52:12,26.02.2021
event20210226_215344_656,krátka bez headecha,0.365353,0.669572,0.0164204,0.0269414,"0.581303
",0.5935,12.908,21:53:21:908,21:53:44,26.02.2021
event20210226_220304_675,krátka bez headecha,0.367406,0.676704,0.0172414,0.0285261,"0.604558
",0.6231,12.9674,22:02:41:967,22:03:04,26.02.2021
event20210226_220522_677,krátka s headechom,0.356732,0.677496,0.0238095,0.0586371,"0.566919
",0.8605,12.4629,22:04:59:462,22:05:22,26.02.2021
event20210226_220840_685,krátka bez headecha,0.720033,0.664025,0.0164204,0.0316957,"0.610503
",0.5935,25.727,22:08:30:727,22:08:40,26.02.2021
event20210226_220853_686,krátka bez headecha,0.36289,0.664025,0.0164204,0.0316957,"0.612477
",0.5935,12.819,22:08:30:819,22:08:53,26.02.2021
event20210226_222132_704,krátka s headechom,0.683498,0.686212,0.0188834,0.0602219,"0.416932
",0.6825,24.362,22:21:21:362,22:21:32,26.02.2021
event20210226_222132_704,krátka bez headecha,0.89491,0.678288,0.0147783,0.0380349,"0.521884
",0.5341,32.0772,22:21:29:077,22:21:32,26.02.2021
event20210226_222143_705,krátka bez headecha,0.356322,0.690967,0.0213465,0.0570523,"0.313659
",0.7715,12.4926,22:21:20:492,22:21:43,26.02.2021
event20210226_222143_705,krátka bez headecha,0.568145,0.678288,0.0164204,0.0380349,"0.413101
",0.5935,20.2374,22:21:28:237,22:21:43,26.02.2021
event20210226_222143_705,krátka bez headecha,0.821018,0.689382,0.0131363,0.0285261,"0.28743
",0.4748,29.4362,22:21:37:436,22:21:43,26.02.2021
event20210226_222348_710,krátka s headechom,0.358374,0.673534,0.0221675,0.0602219,"0.38053
",0.8012,12.5519,22:23:25:551,22:23:48,26.02.2021
event20210226_222533_712,dlhá s headechom,0.369869,0.641838,0.0632184,0.202853,"0.345052
",2.2849,12.2255,22:25:10:225,22:25:33,26.02.2021
event20210226_222707_716,krátka bez headecha,0.616995,0.672742,0.0155993,0.0332805,"0.612224
",0.5638,22.0178,22:26:54:017,22:27:07,26.02.2021
event20210226_222717_717,krátka bez headecha,0.35468,0.672742,0.0147783,0.0332805,"0.641524
",0.5341,12.5519,22:26:54:551,22:27:17,26.02.2021
event20210226_222922_718,krátka bez headecha,0.36289,0.684628,0.0147783,0.0285261,"0.578452
",0.5341,12.8487,22:28:59:848,22:29:22,26.02.2021
event20210226_223144_721,krátka s headechom,0.358785,0.667195,0.0213465,0.0570523,"0.490311
",0.7715,12.5816,22:31:21:581,22:31:44,26.02.2021
event20210226_223144_721,krátka bez headecha,0.537356,0.671157,0.0155993,0.0269414,"0.338992
",0.5638,19.1395,22:31:28:139,22:31:44,26.02.2021
event20210226_223151_722,krátka s headechom,0.180624,0.664818,0.0197044,0.0618067,"0.565285
",0.7122,6.1721,22:31:22:172,22:31:51,26.02.2021
event20210226_223151_722,krátka bez headecha,0.359195,0.670364,0.0155993,0.0253566,"0.528294
",0.5638,12.7003,22:31:28:700,22:31:51,26.02.2021
event20210226_223151_722,krátka bez headecha,0.804187,0.675911,0.0139573,0.0332805,"0.458125
",0.5045,28.813,22:31:44:813,22:31:51,26.02.2021
event20210226_223229_724,krátka s headechom,0.739327,0.660063,0.0270936,0.0776545,"0.52169
",0.9792,26.2315,22:32:20:231,22:32:29,26.02.2021
event20210226_223243_725,krátka s headechom,0.365353,0.660856,0.0246305,0.0792393,"0.519991
",0.8902,12.7596,22:32:20:759,22:32:43,26.02.2021
event20210226_223444_726,krátka s headechom,0.366174,0.657686,0.0279146,0.0697306,"0.462593
",1.0089,12.73,22:34:21:73,22:34:44,26.02.2021
event20210226_223547_727,krátka bez headecha,0.760673,0.671949,0.0205255,0.044374,"0.407909
",0.7418,27.1217,22:35:39:121,22:35:47,26.02.2021
event20210226_223602_728,krátka bez headecha,0.358374,0.671157,0.0205255,0.0459588,"0.397661
",0.7418,12.5816,22:35:39:581,22:36:02,26.02.2021
event20210226_223830_730,krátka bez headecha,0.353859,0.66878,0.0164204,0.0380349,"0.638591
",0.5935,12.4926,22:38:07:492,22:38:30,26.02.2021
event20210226_224106_735,dlhá s headechom,0.376437,0.671949,0.0681445,0.259905,"0.264854
",2.4629,12.3739,22:40:43:373,22:41:06,26.02.2021
event20210226_225302_756,krátka bez headecha,0.26601,0.673534,0.0164204,0.0253566,"0.615847
",0.5935,9.3175,22:52:36:317,22:53:02,26.02.2021
event20210226_225439_760,krátka bez headecha,0.364943,0.679873,0.0139573,0.0380349,"0.476959
",0.5045,12.9377,22:54:16:937,22:54:39,26.02.2021
event20210226_225705_763,krátka s headechom,0.805419,0.671157,0.0328407,0.0649762,"0.299961
",1.1869,28.5163,22:56:58:516,22:57:05,26.02.2021
event20210226_225705_763,dlhá s headechom,0.80624,0.672742,0.0311987,0.0618067,"0.278356
",1.1276,28.5757,22:56:58:575,22:57:05,26.02.2021
event20210226_225721_764,krátka s headechom,0.374795,0.671949,0.0336617,0.0633914,"0.273351
",1.2166,12.9377,22:56:58:937,22:57:21,26.02.2021
event20210226_225730_765,dlhá s headechom,0.121511,0.673534,0.0328407,0.0602219,"0.303419
",1.1869,3.7982,22:56:58:798,22:57:30,26.02.2021
event20210226_225810_766,krátka bez headecha,0.32225,0.698098,0.0139573,0.0332805,"0.534739
",0.5045,11.3947,22:57:46:394,22:58:10,26.02.2021
event20210226_225810_766,krátka s headechom,0.862069,0.671157,0.0164204,0.0618067,"0.483482
",0.5935,30.8605,22:58:05:860,22:58:10,26.02.2021
event20210226_225814_767,krátka bez headecha,0.219622,0.698098,0.0139573,0.0301109,"0.562609
",0.5045,7.6854,22:57:46:685,22:58:14,26.02.2021
event20210226_225814_767,krátka s headechom,0.759442,0.670364,0.0147783,0.0602219,"0.549405
",0.5341,27.181,22:58:06:181,22:58:14,26.02.2021
event20210226_225829_768,krátka s headechom,0.356732,0.670364,0.0155993,0.0602219,"0.580141
",0.5638,12.6113,22:58:06:611,22:58:29,26.02.2021
event20210226_225902_769,krátka bez headecha,0.334565,0.59271,0.0188834,0.0285261,"0.388555
",0.6825,11.7507,22:58:38:750,22:59:02,26.02.2021
event20210226_225902_769,krátka bez headecha,0.568965,0.667987,0.0164204,0.0301109,"0.506357
",0.5935,20.267,22:58:47:267,22:59:02,26.02.2021
event20210226_225905_770,krátka bez headecha,0.249589,0.59271,0.0180624,0.0253566,"0.425905
",0.6528,8.6943,22:58:38:694,22:59:05,26.02.2021
event20210226_225905_770,krátka bez headecha,0.48399,0.66878,0.0155993,0.0316957,"0.492134
",0.5638,17.2107,22:58:47:210,22:59:05,26.02.2021
event20210226_230023_772,krátka bez headecha,0.356732,0.663233,0.0123153,0.0269414,"0.564366
",0.4451,12.6706,23:00:00:670,23:00:23,26.02.2021
