classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
378594727,kamilajencikova,2355348,7fa6bdf5854b3a47a354,20291,ozveny,20.19,2021-11-25 21:23:09 UTC,,,"{""source"":""api"",""session"":""7242987770dd9337d4e2948f6675263fa4c6789ccb44f5c80a70da77d931453c"",""viewport"":{""width"":1707,""height"":802},""started_at"":""2021-11-25T21:23:03.440Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-11-25T21:23:09.428Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1168,""clientHeight"":605,""naturalWidth"":1218,""naturalHeight"":631}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-25T21:23:03.085Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""51358""}","[{""task"":""T0"",""task_label"":""Vidíš na obrázku ozvenu?"",""value"":""Nie""}]","{""70511828"":{""retired"":{""id"":95531721,""workflow_id"":20291,""classifications_count"":2,""created_at"":""2021-11-25T22:08:08.604Z"",""updated_at"":""2021-11-26T19:33:46.439Z"",""retired_at"":""2021-11-26T19:33:46.429Z"",""subject_id"":70511828,""retirement_reason"":""classification_count""},""Filename"":""event20210227_053814_273.jpg""}}",70511828
378594749,kamilajencikova,2355348,7fa6bdf5854b3a47a354,20291,ozveny,20.19,2021-11-25 21:23:16 UTC,,,"{""source"":""api"",""session"":""7242987770dd9337d4e2948f6675263fa4c6789ccb44f5c80a70da77d931453c"",""viewport"":{""width"":1707,""height"":802},""started_at"":""2021-11-25T21:23:10.820Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-11-25T21:23:16.761Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1168,""clientHeight"":605,""naturalWidth"":1218,""naturalHeight"":631}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-25T21:23:03.085Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""51358""}","[{""task"":""T0"",""task_label"":""Vidíš na obrázku ozvenu?"",""value"":""Nie""}]","{""70511863"":{""retired"":{""id"":95531637,""workflow_id"":20291,""classifications_count"":2,""created_at"":""2021-11-25T22:02:37.974Z"",""updated_at"":""2021-11-26T20:46:02.744Z"",""retired_at"":""2021-11-26T20:46:02.735Z"",""subject_id"":70511863,""retirement_reason"":""classification_count""},""Filename"":""event20210227_084352_444.jpg""}}",70511863
378595396,kamilajencikova,2355348,7fa6bdf5854b3a47a354,20291,ozveny,26.31,2021-11-25 21:27:33 UTC,,,"{""source"":""api"",""session"":""ef1d0260176bf7e29323136c1c031579c9ca95fe9847458b9a504afd37dd4800"",""viewport"":{""width"":1707,""height"":802},""started_at"":""2021-11-25T21:27:02.813Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-11-25T21:27:33.700Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1168,""clientHeight"":605,""naturalWidth"":1218,""naturalHeight"":631}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-25T21:27:02.471Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""51358""}","[{""task"":""T0"",""task_label"":""Vidíš na obrázku ozvenu?"",""value"":""Áno""},{""task"":""T1"",""task_label"":""Znázorni ozvenu typu U alebo O "",""value"":[{""x"":341.4502868652344,""y"":416.5054931640625,""tool"":0,""frame"":0,""width"":20.39080810546875,""height"":28.732513427734375,""details"":[{""value"":1}],""tool_label"":""Ozvena U (krátka)""},{""x"":431.3551940917969,""y"":414.65179443359375,""tool"":0,""frame"":0,""width"":23.17138671875,""height"":19.46392822265625,""details"":[{""value"":1}],""tool_label"":""Ozvena U (krátka)""}]}]","{""70511634"":{""retired"":{""id"":95531118,""workflow_id"":20291,""classifications_count"":1,""created_at"":""2021-11-25T21:27:33.829Z"",""updated_at"":""2021-11-25T21:27:33.859Z"",""retired_at"":""2021-11-25T21:27:33.852Z"",""subject_id"":70511634,""retirement_reason"":""classification_count""},""Filename"":""event20210201_031211_62.jpg""}}",70511634
378595602,kamilajencikova,2355348,7fa6bdf5854b3a47a354,20291,ozveny,27.31,2021-11-25 21:28:58 UTC,,,"{""source"":""api"",""session"":""5b7f147e0e79fc80ef6ed52f9dce3b27a34da34ba9d53b84a2732ec1b4553941"",""viewport"":{""width"":1707,""height"":802},""started_at"":""2021-11-25T21:28:52.923Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-11-25T21:28:58.711Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1168,""clientHeight"":605,""naturalWidth"":1218,""naturalHeight"":631}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-25T21:28:52.549Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""51358""}","[{""task"":""T0"",""task_label"":""Vidíš na obrázku ozvenu?"",""value"":""Nie""}]","{""70511809"":{""retired"":{""id"":95531143,""workflow_id"":20291,""classifications_count"":1,""created_at"":""2021-11-25T21:28:58.681Z"",""updated_at"":""2021-11-25T21:28:58.717Z"",""retired_at"":""2021-11-25T21:28:58.707Z"",""subject_id"":70511809,""retirement_reason"":""classification_count""},""Filename"":""event20210227_025953_177.jpg""}}",70511809
378595713,kamilajencikova,2355348,7fa6bdf5854b3a47a354,20291,ozveny,28.31,2021-11-25 21:29:48 UTC,,,"{""source"":""api"",""session"":""00be67391e432af8adee1552e2a7bd1fc7ed5cd31a2c36db4f3923f2ddbe2622"",""viewport"":{""width"":1707,""height"":802},""started_at"":""2021-11-25T21:29:34.131Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-11-25T21:29:48.352Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1168,""clientHeight"":605,""naturalWidth"":1218,""naturalHeight"":631}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-25T21:29:33.765Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""51358""}","[{""task"":""T0"",""task_label"":""Vidíš na obrázku ozvenu?"",""value"":""Áno""},{""task"":""T1"",""task_label"":""Znázorni ozvenu typu U alebo O "",""value"":[{""x"":422.0866394042969,""y"":401.6758117675781,""tool"":0,""frame"":0,""width"":20.390838623046875,""height"":25.025115966796875,""details"":[{""value"":1}],""tool_label"":""Ozvena U (krátka)""}]},{""task"":""T2"",""task_label"":""Si si istý svojou odpoveďou? Ak nie použi tutoriál."",""value"":""Áno""}]","{""70511576"":{""retired"":{""id"":95531148,""workflow_id"":20291,""classifications_count"":1,""created_at"":""2021-11-25T21:29:48.336Z"",""updated_at"":""2021-11-25T21:29:48.365Z"",""retired_at"":""2021-11-25T21:29:48.358Z"",""subject_id"":70511576,""retirement_reason"":""classification_count""},""Filename"":""event20210131_120535_313.jpg""}}",70511576
378595742,kamilajencikova,2355348,7fa6bdf5854b3a47a354,20291,ozveny,28.31,2021-11-25 21:30:01 UTC,,,"{""source"":""api"",""session"":""00be67391e432af8adee1552e2a7bd1fc7ed5cd31a2c36db4f3923f2ddbe2622"",""viewport"":{""width"":1707,""height"":802},""started_at"":""2021-11-25T21:29:49.328Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-11-25T21:30:01.953Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1168,""clientHeight"":605,""naturalWidth"":1218,""naturalHeight"":631}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-25T21:29:33.765Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""51358""}","[{""task"":""T0"",""task_label"":""Vidíš na obrázku ozvenu?"",""value"":""Nie""},{""task"":""T2"",""task_label"":""Si si istý svojou odpoveďou? Ak nie použi tutoriál."",""value"":""Áno""}]","{""70511816"":{""retired"":{""id"":95531155,""workflow_id"":20291,""classifications_count"":1,""created_at"":""2021-11-25T21:30:01.943Z"",""updated_at"":""2021-11-25T21:30:01.972Z"",""retired_at"":""2021-11-25T21:30:01.965Z"",""subject_id"":70511816,""retirement_reason"":""classification_count""},""Filename"":""event20210227_040235_215.jpg""}}",70511816
378595761,kamilajencikova,2355348,7fa6bdf5854b3a47a354,20291,ozveny,28.31,2021-11-25 21:30:08 UTC,,,"{""source"":""api"",""session"":""00be67391e432af8adee1552e2a7bd1fc7ed5cd31a2c36db4f3923f2ddbe2622"",""viewport"":{""width"":1707,""height"":802},""started_at"":""2021-11-25T21:30:03.051Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-11-25T21:30:08.517Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1168,""clientHeight"":643,""naturalWidth"":1218,""naturalHeight"":670}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-25T21:29:33.765Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""51358""}","[{""task"":""T0"",""task_label"":""Vidíš na obrázku ozvenu?"",""value"":""Nie""},{""task"":""T2"",""task_label"":""Si si istý svojou odpoveďou? Ak nie použi tutoriál."",""value"":""Áno""}]","{""70511348"":{""retired"":{""id"":95531158,""workflow_id"":20291,""classifications_count"":1,""created_at"":""2021-11-25T21:30:08.490Z"",""updated_at"":""2021-11-25T21:30:08.516Z"",""retired_at"":""2021-11-25T21:30:08.509Z"",""subject_id"":70511348,""retirement_reason"":""classification_count""},""Filename"":""event20210112_084609_201.jpg""}}",70511348
378595815,kamilajencikova,2355348,7fa6bdf5854b3a47a354,20291,ozveny,28.31,2021-11-25 21:30:25 UTC,,,"{""source"":""api"",""session"":""00be67391e432af8adee1552e2a7bd1fc7ed5cd31a2c36db4f3923f2ddbe2622"",""viewport"":{""width"":1707,""height"":802},""started_at"":""2021-11-25T21:30:09.359Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-11-25T21:30:25.285Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1168,""clientHeight"":605,""naturalWidth"":1218,""naturalHeight"":631}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-25T21:29:33.765Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""51358""}","[{""task"":""T0"",""task_label"":""Vidíš na obrázku ozvenu?"",""value"":""Áno""},{""task"":""T1"",""task_label"":""Znázorni ozvenu typu U alebo O "",""value"":[{""x"":423.01348876953125,""y"":408.1637878417969,""tool"":0,""frame"":0,""width"":20.390838623046875,""height"":17.610260009765625,""details"":[{""value"":1}],""tool_label"":""Ozvena U (krátka)""}]},{""task"":""T2"",""task_label"":""Si si istý svojou odpoveďou? Ak nie použi tutoriál."",""value"":""Áno""}]","{""70511801"":{""retired"":{""id"":95531156,""workflow_id"":20291,""classifications_count"":1,""created_at"":""2021-11-25T21:30:07.475Z"",""updated_at"":""2021-11-25T21:30:25.303Z"",""retired_at"":""2021-11-25T21:30:25.297Z"",""subject_id"":70511801,""retirement_reason"":""classification_count""},""Filename"":""event20210227_020311_139.jpg""}}",70511801
378595867,kamilajencikova,2355348,7fa6bdf5854b3a47a354,20291,ozveny,28.31,2021-11-25 21:30:47 UTC,,,"{""source"":""api"",""session"":""00be67391e432af8adee1552e2a7bd1fc7ed5cd31a2c36db4f3923f2ddbe2622"",""viewport"":{""width"":1707,""height"":802},""started_at"":""2021-11-25T21:30:26.219Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-11-25T21:30:47.560Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1168,""clientHeight"":658,""naturalWidth"":1218,""naturalHeight"":686}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-25T21:29:33.765Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""51358""}","[{""task"":""T0"",""task_label"":""Vidíš na obrázku ozvenu?"",""value"":""Áno""},{""task"":""T1"",""task_label"":""Znázorni ozvenu typu U alebo O "",""value"":[{""x"":430.42913818359375,""y"":462.8461608886719,""tool"":0,""frame"":0,""width"":36.147186279296875,""height"":20.390777587890625,""details"":[{""value"":1}],""tool_label"":""Ozvena U (krátka)""},{""x"":165.34979248046875,""y"":481.3831787109375,""tool"":0,""frame"":0,""width"":19.463851928710938,""height"":16.683319091796875,""details"":[{""value"":1}],""tool_label"":""Ozvena U (krátka)""}]},{""task"":""T2"",""task_label"":""Si si istý svojou odpoveďou? Ak nie použi tutoriál."",""value"":""Áno""}]","{""70511215"":{""retired"":{""id"":95531170,""workflow_id"":20291,""classifications_count"":1,""created_at"":""2021-11-25T21:30:47.580Z"",""updated_at"":""2021-11-25T21:30:47.606Z"",""retired_at"":""2021-11-25T21:30:47.600Z"",""subject_id"":70511215,""retirement_reason"":""classification_count""},""Filename"":""event20201130_141255_158.jpg""}}",70511215
378595897,kamilajencikova,2355348,7fa6bdf5854b3a47a354,20291,ozveny,28.31,2021-11-25 21:31:02 UTC,,,"{""source"":""api"",""session"":""00be67391e432af8adee1552e2a7bd1fc7ed5cd31a2c36db4f3923f2ddbe2622"",""viewport"":{""width"":1707,""height"":802},""started_at"":""2021-11-25T21:30:48.399Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-11-25T21:31:02.898Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1168,""clientHeight"":658,""naturalWidth"":1218,""naturalHeight"":686}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-11-25T21:29:33.765Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""51358""}","[{""task"":""T0"",""task_label"":""Vidíš na obrázku ozvenu?"",""value"":""Áno""},{""task"":""T1"",""task_label"":""Znázorni ozvenu typu U alebo O "",""value"":[{""x"":438.7707824707031,""y"":464.6999206542969,""tool"":0,""frame"":0,""width"":22.24444580078125,""height"":12.049041748046875,""details"":[{""value"":1}],""tool_label"":""Ozvena U (krátka)""}]},{""task"":""T2"",""task_label"":""Si si istý svojou odpoveďou? Ak nie použi tutoriál."",""value"":""Áno""}]","{""70511221"":{""retired"":{""id"":95531172,""workflow_id"":20291,""classifications_count"":1,""created_at"":""2021-11-25T21:31:02.915Z"",""updated_at"":""2021-11-25T21:31:02.944Z"",""retired_at"":""2021-11-25T21:31:02.934Z"",""subject_id"":70511221,""retirement_reason"":""classification_count""},""Filename"":""event20201130_153315_185.jpg""}}",70511221
